date,Google Maps
2022-01-26,3.3928439672061077
2022-01-27,2.5446329754045807
2022-01-28,2.377224731553435
2022-01-29,3.0016685486650765
2022-01-30,4.813751411498807
2022-01-31,5.120730225290772
2022-02-01,3.8405476689680786
2022-02-02,2.8804107517260586
2022-02-03,2.160308063794544
2022-02-04,2.9952310478459077
2022-02-05,4.548506619217764
2022-02-06,6.0155466310799905
2022-02-07,7.230409973309993
2022-02-08,5.422807479982494
2022-02-09,4.0671056099868705
2022-02-10,3.0503292074901527
2022-02-11,2.8606635722842806
2022-02-12,4.270497679213211
2022-02-13,5.442456592743242
2022-02-14,5.561009111224098
2022-02-15,7.010756833418074
2022-02-16,6.830984291730222
2022-02-17,7.612821552131001
2022-02-18,6.605449497431584
2022-02-19,4.954087123073688
2022-02-20,3.7155653423052657
