date,Pasqua
2022-01-17,1.4905925280699046
2022-01-18,2.2779443960524284
2022-01-19,2.645958297039321
2022-01-20,2.9948853894461576
2022-01-21,4.475330708751285
2022-01-22,4.02316469823013
2022-01-23,5.256956857005931
2022-01-24,4.442717642754448
2022-01-25,3.3320382320658357
2022-01-26,2.4990286740493763
2022-01-27,1.8742715055370323
2022-01-28,1.7807036291527742
2022-01-29,2.450111055197914
2022-01-30,3.8063332913984356
2022-01-31,4.396416635215494
2022-02-01,4.6173124764116205
2022-02-02,3.462984357308715
2022-02-03,2.597238267981536
2022-02-04,2.6875120343194854
2022-02-05,5.317717359072948
2022-02-06,7.186204685971378
2022-02-07,7.3375701811452005
2022-02-08,5.5031776358589
2022-02-09,4.127383226894175
2022-02-10,3.095537420170631
2022-02-11,2.7487363984613062
