date,Gita
2022-01-04,3.7661671381869253
2022-01-05,4.001708686973528
2022-01-06,3.3866981818968123
2022-01-07,2.6858569697559425
2022-01-08,2.0664760606502903
2022-01-09,1.6227737121543844
2022-01-10,1.2795802841157882
2022-01-11,0.9596852130868411
2022-01-25,0.7197639098151307
2022-01-26,0.539822932361348
2022-01-27,0.404867199271011
2022-01-28,0.35573373278659154
2022-01-29,1.5897169662566109
2022-01-30,1.348537724692458
2022-01-31,2.157236626852677
2022-02-01,1.6179274701395077
2022-02-02,1.2134456026046305
2022-02-03,0.9100842019534728
2022-02-04,0.890896484798438
2022-02-05,1.7098390302654956
2022-02-06,2.459462606032455
2022-02-07,2.167513621191008
2022-02-08,1.6256352158932559
2022-03-08,2.396309745253275
2022-03-09,2.057648975606623
2022-03-10,2.793236731704967
