date,Montagna
2022-04-06,2.3308753836330545
2022-04-07,3.6648232043914577
2022-04-08,3.6236174032935935
2022-04-09,3.6343797191368616
2022-04-10,4.382034789352646
2022-04-11,3.5365260920144848
2022-04-12,3.4923945690108633
2022-04-13,3.0880459267581477
2022-04-14,2.888951111735277
2022-04-15,2.8854633338014577
2022-04-16,2.882847500351093
2022-04-17,3.9850522919299864
2022-04-18,5.884622552280823
2022-04-19,4.413466914210617
2022-04-20,3.3101001856579626
2022-04-21,2.4825751392434716
2022-04-22,2.0910980210992705
2022-04-23,4.401656849157787
2022-04-24,4.853325970201674
2022-04-25,6.567077810984589
2022-04-26,4.925308358238441
2022-04-27,3.6939812686788307
2022-04-28,2.7704859515091225
2022-04-29,3.119531130298509
2022-04-30,3.600065014390549
2022-05-01,4.835465427459579
