date,Traffico
2022-03-04,0.6203294682312345
2022-03-05,1.6006637678400928
2022-03-06,3.9921644925467366
2022-03-07,4.108706702743386
2022-03-08,3.3915300270575393
2022-03-09,4.001980853626488
2022-03-10,3.2723189735531997
2022-03-11,2.5479892301648994
2022-03-12,1.9109919226236745
2022-03-13,1.4332439419677556
2022-03-14,1.0749329564758165
2022-03-15,0.8061997173568624
2022-03-22,2.8963164546843134
2022-03-23,2.6618206743465684
2022-03-24,2.496365505759926
2022-03-25,2.3410241293199445
2022-03-26,1.7557680969899583
2022-03-27,1.3168260727424685
2022-03-28,0.9876195545568514
2022-03-29,1.2007146659176386
2022-03-30,1.8067859994382292
2022-03-31,1.636339499578672
2022-04-01,1.6230879580173374
2022-04-02,1.9568993018463363
2022-04-03,1.728091143051419
2022-04-04,2.743985023955231
