date,Santo Ambrogio
2022-01-24,2.5600413887153994
2022-01-25,1.9200310415365494
2022-01-26,1.4400232811524118
2022-01-27,1.0800174608643087
2022-01-28,0.8100130956482315
2022-01-29,1.9304264884028406
2022-01-30,1.7603198663021304
2022-01-31,1.716073233059931
2022-02-01,1.6370549247949482
2022-02-02,1.227791193596211
2022-02-03,0.9208433951971582
2022-02-04,0.773965879731202
2022-02-05,1.1533910764650683
2022-02-06,1.8025433073488015
2022-02-07,2.612324147178268
2022-02-08,1.9592431103837007
2022-02-09,1.4694323327877754
2022-02-10,1.1020742495908316
2022-02-11,0.8265556871931237
2022-02-12,2.9532500987281765
2022-02-13,3.214937574046133
2022-02-14,2.6403698472012658
2022-02-15,4.12027738540095
2022-02-16,4.1214580390507125
2022-02-17,4.361926862621368
2022-02-18,3.344361813632692
