date,Ferragosto
2022-02-07,2.9849654582134386
2022-02-08,2.2387240936600787
2022-02-15,1.835293070245059
2022-02-16,2.449386469350461
2022-02-17,1.9412065186795122
2022-02-18,2.6225715556763007
2022-02-19,1.9669286667572254
2022-02-20,1.4751965000679188
2022-02-21,1.106397375050939
2022-02-22,0.8297980312882043
2022-03-01,0.6223485234661531
2022-03-02,0.4667613925996148
2022-03-03,0.35007104444971104
2022-03-04,0.8042199500039501
2022-03-05,2.0823316291696297
2022-03-06,4.4159153885438895
2022-03-07,4.33276987474125
2022-03-08,3.9795774060559372
2022-03-09,4.484683054541953
2022-03-10,4.332262290906464
2022-03-11,5.4991967181798485
2022-03-12,4.124397538634886
2022-03-13,3.0932981539761646
2022-03-14,2.319973615482123
2022-03-15,1.7399802116115923
