Data,Ospiti
2022-01-30 00:00:00.000000 UTC,326.0
2022-01-31 00:00:00.000000 UTC,168.0
2022-02-01 00:00:00.000000 UTC,248.0
2022-02-02 00:00:00.000000 UTC,299.0
2022-02-03 00:00:00.000000 UTC,225.0
2022-02-04 00:00:00.000000 UTC,355.0
2022-02-05 00:00:00.000000 UTC,591.0
2022-02-06 00:00:00.000000 UTC,363.0
2022-02-07 00:00:00.000000 UTC,194.0
2022-02-08 00:00:00.000000 UTC,211.0
2022-02-09 00:00:00.000000 UTC,217.0
2022-02-10 00:00:00.000000 UTC,268.0
2022-02-11 00:00:00.000000 UTC,339.0
2022-02-12 00:00:00.000000 UTC,1183.0
2022-02-13 00:00:00.000000 UTC,484.0
2022-02-14 00:00:00.000000 UTC,355.0
2022-02-15 00:00:00.000000 UTC,290.0
2022-02-16 00:00:00.000000 UTC,244.0
2022-02-17 00:00:00.000000 UTC,292.0
2022-02-18 00:00:00.000000 UTC,426.0
2022-02-19 00:00:00.000000 UTC,754.0
2022-02-20 00:00:00.000000 UTC,511.0
2022-02-21 00:00:00.000000 UTC,217.0
2022-02-22 00:00:00.000000 UTC,313.0
2022-02-23 00:00:00.000000 UTC,304.0
2022-02-24 00:00:00.000000 UTC,252.0
2022-02-25 00:00:00.000000 UTC,421.0
2022-02-26 00:00:00.000000 UTC,820.0
2022-02-27 00:00:00.000000 UTC,454.0
2022-02-28 00:00:00.000000 UTC,231.0
2022-03-01 00:00:00.000000 UTC,295.0
2022-03-02 00:00:00.000000 UTC,339.0
2022-03-03 00:00:00.000000 UTC,325.0
2022-03-04 00:00:00.000000 UTC,390.0
2022-03-05 00:00:00.000000 UTC,699.0
2022-03-06 00:00:00.000000 UTC,482.0
2022-03-07 00:00:00.000000 UTC,221.0
2022-03-08 00:00:00.000000 UTC,315.0
2022-03-09 00:00:00.000000 UTC,331.0
2022-03-10 00:00:00.000000 UTC,332.0
2022-03-11 00:00:00.000000 UTC,316.0
2022-03-12 00:00:00.000000 UTC,635.0
2022-03-13 00:00:00.000000 UTC,489.0
2022-03-14 00:00:00.000000 UTC,196.0
2022-03-15 00:00:00.000000 UTC,296.0
2022-03-16 00:00:00.000000 UTC,276.0
2022-03-17 00:00:00.000000 UTC,320.0
2022-03-18 00:00:00.000000 UTC,424.0
2022-03-19 00:00:00.000000 UTC,860.0
2022-03-20 00:00:00.000000 UTC,575.0
2022-03-21 00:00:00.000000 UTC,250.0
2022-03-22 00:00:00.000000 UTC,278.0
2022-03-23 00:00:00.000000 UTC,283.0
2022-03-24 00:00:00.000000 UTC,298.0
2022-03-25 00:00:00.000000 UTC,394.0
2022-03-26 00:00:00.000000 UTC,658.0
2022-03-27 00:00:00.000000 UTC,429.0
2022-03-28 00:00:00.000000 UTC,244.0
2022-03-29 00:00:00.000000 UTC,218.0
2022-03-30 00:00:00.000000 UTC,299.0
2022-03-31 00:00:00.000000 UTC,251.0
2022-04-01 00:00:00.000000 UTC,377.0
2022-04-02 00:00:00.000000 UTC,869.0
2022-04-03 00:00:00.000000 UTC,493.0
2022-04-04 00:00:00.000000 UTC,261.0
2022-04-05 00:00:00.000000 UTC,329.0
2022-04-06 00:00:00.000000 UTC,310.0
2022-04-07 00:00:00.000000 UTC,320.0
2022-04-08 00:00:00.000000 UTC,421.0
2022-04-09 00:00:00.000000 UTC,746.0
2022-04-10 00:00:00.000000 UTC,440.0
2022-04-11 00:00:00.000000 UTC,293.0
2022-04-12 00:00:00.000000 UTC,349.0
2022-04-13 00:00:00.000000 UTC,280.0
2022-04-14 00:00:00.000000 UTC,369.0
2022-04-15 00:00:00.000000 UTC,362.0
2022-04-16 00:00:00.000000 UTC,387.0
2022-04-17 00:00:00.000000 UTC,509.0
2022-04-18 00:00:00.000000 UTC,382.0
2022-04-19 00:00:00.000000 UTC,194.0
2022-04-20 00:00:00.000000 UTC,266.0
2022-04-21 00:00:00.000000 UTC,298.0
2022-04-22 00:00:00.000000 UTC,385.0
2022-04-23 00:00:00.000000 UTC,585.0
2022-04-24 00:00:00.000000 UTC,544.0
2022-04-25 00:00:00.000000 UTC,484.0
2022-04-26 00:00:00.000000 UTC,246.0
2022-04-27 00:00:00.000000 UTC,304.0
2022-04-28 00:00:00.000000 UTC,298.0
2022-04-29 00:00:00.000000 UTC,339.0
2022-04-30 00:00:00.000000 UTC,775.0
2022-05-01 00:00:00.000000 UTC,530.0
2022-05-02 00:00:00.000000 UTC,222.0
2022-05-03 00:00:00.000000 UTC,265.0
2022-05-04 00:00:00.000000 UTC,287.0
2022-05-05 00:00:00.000000 UTC,340.0
2022-05-06 00:00:00.000000 UTC,413.0
2022-05-07 00:00:00.000000 UTC,844.0
2022-05-08 00:00:00.000000 UTC,979.0
2022-05-09 00:00:00.000000 UTC,312.0
2022-05-10 00:00:00.000000 UTC,273.0
2022-05-11 00:00:00.000000 UTC,274.0
2022-05-12 00:00:00.000000 UTC,377.0
2022-05-13 00:00:00.000000 UTC,379.0
2022-05-14 00:00:00.000000 UTC,684.0
2022-05-15 00:00:00.000000 UTC,558.0
2022-05-16 00:00:00.000000 UTC,270.0
2022-05-17 00:00:00.000000 UTC,329.0
2022-05-18 00:00:00.000000 UTC,310.0
2022-05-19 00:00:00.000000 UTC,313.0
2022-05-20 00:00:00.000000 UTC,397.0
2022-05-21 00:00:00.000000 UTC,673.0
2022-05-22 00:00:00.000000 UTC,437.0
2022-05-23 00:00:00.000000 UTC,285.0
2022-05-24 00:00:00.000000 UTC,276.0
2022-05-25 00:00:00.000000 UTC,291.0
2022-05-26 00:00:00.000000 UTC,385.0
2022-05-27 00:00:00.000000 UTC,485.0
2022-05-28 00:00:00.000000 UTC,646.0
2022-05-29 00:00:00.000000 UTC,579.0
2022-05-30 00:00:00.000000 UTC,255.0
2022-05-31 00:00:00.000000 UTC,329.0
